date,pond,raindoy,year,precip_mm,risestarttime,riseendtime,norise,multiday,multipeak,exclude
2024-07-02,Strickers,184,2024,63.246,2024-07-02 02:15,2024-07-02 22:30,NA,X,X,NA
2024-07-05,Strickers,187,2024,13.208,2024-07-04 15:55,2024-07-05 00:20,NA,NA,X,NA
2024-07-07,Strickers,189,2024,0.889,NA,NA,X,NA,NA,NA
2024-07-08,Strickers,190,2024,0.508,NA,NA,X,NA,NA,NA
2024-07-14,Strickers,196,2024,83.058,2024-07-13 19:55,2024-07-14 20:10,NA,X,X,NA
2024-07-16,Strickers,198,2024,0.762,NA,NA,X,NA,NA,NA
2024-07-22,Strickers,204,2024,36.068,2024-07-21 17:10,2024-07-21 20:15,NA,NA,NA,NA
2024-07-23,Strickers,205,2024,23.114,2024-07-23 07:10,2024-07-24 00:00,NA,X,X,NA
2024-07-29,Strickers,211,2024,3.556,2024-07-28 10:30,2024-07-28 11:20,NA,NA,NA,NA
2024-07-30,Strickers,212,2024,3.302,2024-07-29 07:30,2024-07-29 09:25,NA,NA,NA,NA
2024-08-06,Strickers,219,2024,32.004,2024-08-06 00:00,2024-08-06 04:00,NA,NA,NA,NA
2024-08-07,Strickers,220,2024,0.254,NA,NA,X,NA,NA,NA
2024-08-15,Strickers,228,2024,8.636,2024-08-15 04:05,2024-08-15 08:25,NA,X,NA,NA
2024-08-17,Strickers,230,2024,9.144,2024-08-16 15:40,2024-08-16 18:00,NA,NA,NA,NA
2024-08-30,Strickers,243,2024,17.272,2024-08-30 00:50,2024-08-30 06:00,NA,NA,NA,NA
2024-08-31,Strickers,244,2024,0.508,NA,NA,X,NA,NA,NA
2024-09-06,Strickers,250,2024,0.635,NA,NA,X,NA,NA,NA
2024-09-07,Strickers,251,2024,1.524,2024-09-06 14:35,2024-09-06 16:25,NA,NA,NA,NA
2024-09-20,Strickers,264,2024,24.892,2024-09-19 23:15,2024-09-20 03:30,NA,NA,NA,NA
2024-09-22,Strickers,266,2024,90.17,2024-09-21 15:00,2024-09-22 11:15,NA,X,X,NA
2024-10-04,Strickers,278,2024,1.016,NA,NA,X,NA,NA,NA
2024-10-13,Strickers,287,2024,4.318,NA,NA,X,NA,NA,NA
2024-10-14,Strickers,288,2024,0.762,NA,NA,X,NA,NA,NA
2024-10-25,Strickers,299,2024,1.524,NA,NA,X,NA,NA,NA
2024-10-31,Strickers,305,2024,72.39,2024-10-30 17:30,2024-10-31 02:30,NA,NA,NA,NA
2024-11-03,Strickers,308,2024,0.254,NA,NA,X,NA,NA,NA
2024-11-04,Strickers,309,2024,19.685,2024-11-03 10:30,2024-11-03 18:30,NA,NA,NA,NA
2023-05-13,Tiedemans,133,2023,0.762,NA,NA,X,NA,NA,NA
2023-05-14,Tiedemans,134,2023,1.778,NA,NA,X,NA,NA,NA
2023-05-15,Tiedemans,135,2023,2.794,NA,NA,X,NA,NA,NA
2023-05-19,Tiedemans,139,2023,2.286,NA,NA,X,NA,NA,NA
2023-06-02,Tiedemans,153,2023,0.254,NA,NA,X,NA,NA,NA
2023-06-07,Tiedemans,158,2023,2.032,2023-06-06 11:30,2023-06-06 12:50,NA,NA,NA,NA
2023-06-11,Tiedemans,162,2023,2.413,NA,NA,X,NA,NA,NA
2023-06-12,Tiedemans,163,2023,0.889,NA,NA,X,NA,NA,NA
2023-06-13,Tiedemans,164,2023,1.778,NA,NA,X,NA,NA,NA
2023-06-14,Tiedemans,165,2023,1.905,NA,NA,X,NA,NA,NA
2023-07-29,Tiedemans,210,2023,53.848,2023-07-28 21:30,2023-07-29 00:50,NA,NA,NA,NA
2023-08-11,Tiedemans,223,2023,0.254,NA,NA,X,NA,NA,NA
2023-08-12,Tiedemans,224,2023,6.604,NA,NA,X,NA,NA,NA
2023-08-14,Tiedemans,226,2023,57.658,2023-08-14 05:00,2023-08-14 12:00,NA,X,NA,NA
2023-08-17,Tiedemans,229,2023,4.572,2023-08-17 02:20,2023-08-17 04:50,NA,NA,NA,NA
2023-08-25,Tiedemans,237,2023,0.508,NA,NA,X,NA,NA,NA
2023-09-07,Tiedemans,250,2023,6.096,2023-09-06 13:40,2023-09-06 15:50,NA,NA,NA,NA
2023-09-09,Tiedemans,252,2023,1.397,NA,NA,X,NA,NA,NA
2023-09-11,Tiedemans,254,2023,6.477,2023-09-11 04:00,2023-09-11 06:00,NA,NA,NA,NA
2023-09-12,Tiedemans,255,2023,1.27,NA,NA,X,NA,NA,NA
2023-09-13,Tiedemans,256,2023,5.715,2023-09-12 18:20,2023-09-12 21:40,NA,NA,NA,NA
2023-09-17,Tiedemans,260,2023,2.921,NA,NA,X,NA,NA,NA
2023-09-19,Tiedemans,262,2023,13.589,2023-09-19 06:30,2023-09-19 09:00,NA,X,NA,NA
2023-09-22,Tiedemans,265,2023,1.524,NA,NA,X,NA,NA,NA
